,State,Median Listing Price,UR,GDP,POP,INC,Coefficient
21,MI,260000.0,-0.06339312792764606,0.033420590386420417,-0.001828471229478034,0.05892364010018624,1.3022038179520468
22,MN,324700.0,-0.06263302161310423,0.03228766983169092,0.003060630337539802,0.1254086646698381,1.5956759534722946
23,MS,232500.0,-0.028240992344470993,0.034370406776312284,-0.0038489950133819167,0.04581582313173762,0.48692673290468624
24,MO,249450.0,-0.04670042413843203,0.03238693693763511,0.0018016161395315432,-0.018459324902103447,1.0704038387183845
25,MT,482000.0,-0.05858775348654364,0.028230699081030767,0.009721466074139191,0.04268965166194411,1.756979423261838
26,NC,359500.0,-0.052797206909784365,0.03143008345397043,0.009424554784979725,0.13603660240290583,1.7260686467555204
27,ND,268450.0,-0.03570896907148079,0.025543358217611174,0.0020732345412738055,0.05164938184801078,0.9205772067765392
28,NE,266000.0,-0.04778554669088036,0.031235642064786483,0.0025740561583807845,0.07815366238641697,1.2250386882526365
29,NH,419450.0,-0.11415612044640833,0.03442925964275901,0.004027831617283034,0.06602237200290051,2.619394881080737
30,NJ,449000.0,-0.048590120977724,0.03146933743965873,-0.0009999892308852059,0.1673852083359069,1.152126841225444
31,NM,299999.5,-0.028054298171777382,0.021181218420260835,0.0031788554912865323,0.09527003037595172,0.8576612052163476
32,NV,417500.0,-0.08780568694724458,0.04172568449219874,0.015247329046345653,0.13620546810273404,2.738137028349305
33,NY,577292.0,-0.05043806840194958,0.027614900554206716,-0.006513184229665504,0.06585255410446421,0.8041845117685938
34,OH,219900.0,-0.06839033158030404,0.03202958612743888,-0.00028132347790971895,0.04798251726103756,1.4657821472265102
35,OK,229950.0,-0.0605798689056014,0.022570317213370234,0.005063788312276333,0.08719944479096205,1.597126872943547
36,OR,524850.0,-0.047664335557630846,0.02920050320183547,0.006004198782394673,0.07310312164816336,1.385000778324185
37,PA,279950.0,-0.045947009098577705,0.029928612882544867,-0.0012218608962827609,0.08967773451956242,1.0073820974420684
38,RI,405950.0,-0.0884663255611528,0.029663439605146565,-0.0009766627013068376,0.11909346987169321,1.8989137252397006
39,SC,313000.0,-0.03078230111133834,0.032461989014351836,0.011630568596373,0.07673764564081961,1.33883607571494
40,SD,276950.0,-0.0644667854962442,0.03416673237856809,0.0062814109986213075,0.0774664963869445,1.7492062210000299
41,TN,347450.0,-0.07077968867683143,0.03905653236005775,0.00823913877826522,0.010063272604648274,1.9157270497746535
42,TX,339995.0,-0.02275261210094088,0.029126660239176382,0.012818526697576096,0.12039707928223911,1.2746289766582142
43,UT,597700.0,-0.07058566869920394,0.03472710775875627,0.014410030659156737,0.09228293830063741,2.293952060760066
44,VA,379975.0,-0.05292872481177145,0.027669866032512452,0.003956548585667147,0.05252928109854604,1.3642709386823573
45,VT,357500.0,-0.08109801007382504,0.03360587307994414,-0.0011207945007184906,0.058723704899183354,1.6918559274996479
46,WA,578997.5,-0.07163568516072512,0.028664820140053487,0.010398456295332082,0.03364163275373042,2.043607791014944
47,WI,279950.0,-0.06391076739921144,0.03144291152033497,0.0013851877480206517,0.0727166420482521,1.4830772004741832
48,WV,174950.0,-0.05133502586343211,0.028591151742604355,-0.00585240581553973,0.06008880023782353,0.8513513302146879
49,WY,312500.0,-0.016381763437183658,0.02048279867635965,0.0038057315844533014,0.04065072489876481,0.5995381702178224
